,0
1414,48111
1415,481111
1416,481112
1417,4812
1418,48121
1419,481211
1420,481212
1421,481219
1422,482
1423,4821
1424,48211
1425,482111
1426,482112
1427,483
1428,4831
1429,48311
1430,483111
1431,483112
1432,483113
1433,483114
1434,4832
1435,48321
1436,483211
1437,483212
1438,484
1439,4841
1440,48411
1441,484110
1442,48412
1443,484121
1444,484122
1445,4842
1446,48421
1447,484210
1448,48422
1449,484220
1450,48423
1451,484230
1452,485
1453,4851
1454,48511
1455,485111
1456,485112
1457,485113
1458,485119
1459,4852
1460,48521
1461,485210
1462,4853
1463,48531
1464,485310
1465,48532
1466,485320
1467,4854
1468,48541
1469,485410
1470,4855
1471,48551
1472,485510
1473,4859
1474,48599
1475,485991
1476,485999
1477,486
1478,4861
1479,48611
1480,486110
1481,4862
1482,48621
1483,486210
1484,4869
1485,48691
1486,486910
1487,48699
1488,486990
1489,487
1490,4871
1491,48711
1492,487110
1493,4872
1494,48721
1495,487210
1496,4879
1497,48799
1498,487990
1499,488
1500,4881
1501,48811
1502,488111
1503,488119
1504,48819
1505,488190
1506,4882
1507,48821
1508,488210
1509,4883
1510,48831
1511,488310
1512,48832
1513,488320
1514,48833
1515,488330
1516,48839
1517,488390
1518,4884
1519,48841
1520,488410
1521,48849
1522,488490
1523,4885
1524,48851
1525,488510
1526,4889
1527,48899
1528,488991
1529,488999
1530,491
1531,4911
1532,49111
1533,491110
1534,492
1535,4921
1536,49211
1537,492110
1538,4922
1539,49221
1540,492210
1541,493
1542,4931
1543,49311
1544,493110
1545,49312
1546,493120
1547,49313
1548,493130
1549,49319
1550,493190
1551,51
1552,511
1553,5111
1554,51111
1555,511110
1556,51112
1557,511120
1558,51113
1559,511130
1560,51114
1561,511140
1562,51119
1563,511191
1564,511199
1565,5112
1566,51121
1567,511210
1568,512
1569,5121
1570,51211
1571,512110
1572,51212
1573,512120
1574,51213
1575,512131
1576,512132
1577,51219
1578,512191
1579,512199
1580,5122
1581,51221
1582,512210
1583,51222
1584,512220
1585,51223
1586,512230
1587,51224
1588,512240
1589,51229
1590,512290
1591,515
1592,5151
1593,51511
1594,515111
1595,515112
1596,51512
1597,515120
1598,5152
1599,51521
1600,515210
1601,516
1602,5161
1603,51611
1604,516110
1605,517
1606,5171
1607,51711
1608,517110
1609,5172
1610,51721
1611,517211
1612,517212
1613,5173
1614,51731
1615,517310
1616,5174
1617,51741
1618,517410
1619,5175
1620,51751
1621,517510
1622,5179
1623,51791
1624,517910
1625,518
1626,5181
1627,51811
1628,518111
1629,518112
1630,5182
1631,51821
1632,518210
1633,519
1634,5191
1635,51911
1636,519110
1637,51912
1638,519120
1639,51919
1640,519190
1641,52
1642,521
1643,5211
1644,52111
1645,521110
1646,522
1647,5221
1648,52211
1649,522110
1650,52212
1651,522120
1652,52213
1653,522130
1654,52219
1655,522190
1656,5222
1657,52221
1658,522210
1659,52222
1660,522220
1661,52229
1662,522291
1663,522292
1664,522293
1665,522294
1666,522298
1667,5223
1668,52231
1669,522310
1670,52232
1671,522320
1672,52239
1673,522390
1674,523
1675,5231
1676,52311
1677,523110
1678,52312
1679,523120
1680,52313
1681,523130
1682,52314
1683,523140
1684,5232
1685,52321
1686,523210
1687,5239
1688,52391
1689,523910
1690,52392
1691,523920
1692,52393
1693,523930
1694,52399
1695,523991
1696,523999
1697,524
1698,5241
1699,52411
1700,524113
1701,524114
1702,52412
1703,524126
1704,524127
1705,524128
1706,52413
1707,524130
1708,5242
1709,52421
1710,524210
1711,52429
1712,524291
1713,524292
1714,524298
1715,525
1716,5251
1717,52511
1718,525110
1719,52512
1720,525120
1721,52519
1722,525190
1723,5259
1724,52591
1725,525910
1726,52592
1727,525920
1728,52593
1729,525930
1730,52599
1731,525990
1732,53
1733,531
1734,5311
1735,53111
1736,531110
1737,53112
1738,531120
1739,53113
1740,531130
1741,53119
1742,531190
1743,5312
1744,53121
1745,531210
1746,5313
1747,53131
1748,531311
1749,531312
1750,53132
1751,531320
1752,53139
1753,531390
1754,532
1755,5321
1756,53211
1757,532111
1758,532112
1759,53212
1760,532120
1761,5322
1762,53221
1763,532210
1764,53222
1765,532220
1766,53223
1767,532230
1768,53229
1769,532291
1770,532292
1771,532299
1772,5323
1773,53231
1774,532310
1775,5324
1776,53241
1777,532411
1778,532412
1779,53242
1780,532420
1781,53249
1782,532490
1783,533
1784,5331
1785,53311
1786,533110
1787,54
1788,541
1789,5411
1790,54111
1791,541110
1792,54119
1793,541191
1794,541199
1795,5412
1796,54121
1797,541211
1798,541213
1799,541214
1800,541219
1801,5413
1802,54131
1803,541310
1804,54132
1805,541320
1806,54133
1807,541330
1808,54134
1809,541340
1810,54135
1811,541350
1812,54136
1813,541360
1814,54137
1815,541370
1816,54138
1817,541380
1818,5414
1819,54141
1820,541410
1821,54142
1822,541420
1823,54143
1824,541430
1825,54149
1826,541490
1827,5415
1828,54151
1829,541511
1830,541512
1831,541513
1832,541519
1833,5416
1834,54161
1835,541611
1836,541612
1837,541613
1838,541614
1839,541618
1840,54162
1841,541620
1842,54169
1843,541690
1844,5417
1845,54171
1846,541710
1847,54172
1848,541720
1849,5418
1850,54181
1851,541810
1852,54182
1853,541820
1854,54183
1855,541830
1856,54184
1857,541840
1858,54185
1859,541850
1860,54186
1861,541860
1862,54187
1863,541870
1864,54189
1865,541890
1866,5419
1867,54191
1868,541910
1869,54192
1870,541921
1871,541922
1872,54193
1873,541930
1874,54194
1875,541940
1876,54199
1877,541990
1878,55
1879,551
1880,5511
1881,55111
1882,551111
1883,551112
1884,551114
1885,56
1886,561
1887,5611
1888,56111
1889,561110
1890,5612
1891,56121
1892,561210
1893,5613
1894,56131
1895,561310
1896,56132
1897,561320
1898,56133
1899,561330
1900,5614
1901,56141
1902,561410
1903,56142
1904,561421
1905,561422
1906,56143
1907,561431
1908,561439
1909,56144
1910,561440
1911,56145
1912,561450
1913,56149
1914,561491
1915,561492
1916,561499
1917,5615
1918,56151
1919,561510
1920,56152
1921,561520
1922,56159
1923,561591
1924,561599
1925,5616
1926,56161
1927,561611
1928,561612
1929,561613
1930,56162
1931,561621
1932,561622
1933,5617
1934,56171
1935,561710
1936,56172
1937,561720
1938,56173
1939,561730
1940,56174
1941,561740
1942,56179
1943,561790
1944,5619
1945,56191
1946,561910
1947,56192
1948,561920
1949,56199
1950,561990
1951,562
1952,5621
1953,56211
1954,562111
1955,562112
1956,562119
1957,5622
1958,56221
1959,562211
1960,562212
1961,562213
1962,562219
1963,5629
1964,56291
1965,562910
1966,56292
1967,562920
1968,56299
1969,562991
1970,562998
1971,61
1972,611
1973,6111
1974,61111
1975,611110
1976,6112
1977,61121
1978,611210
1979,6113
1980,61131
1981,611310
1982,6114
1983,61141
1984,611410
1985,61142
1986,611420
1987,61143
1988,611430
1989,6115
1990,61151
1991,611511
1992,611512
1993,611513
1994,611519
1995,6116
1996,61161
1997,611610
1998,61162
1999,611620
2000,61163
2001,611630
2002,61169
2003,611691
2004,611692
2005,611699
2006,6117
2007,61171
2008,611710
2009,62
2010,621
2011,6211
2012,62111
2013,621111
2014,621112
2015,6212
2016,62121
2017,621210
2018,6213
2019,62131
2020,621310
2021,62132
2022,621320
2023,62133
2024,621330
2025,62134
2026,621340
2027,62139
2028,621391
2029,621399
2030,6214
2031,62141
2032,621410
2033,62142
2034,621420
2035,62149
2036,621491
2037,621492
2038,621493
2039,621498
2040,6215
2041,62151
2042,621511
2043,621512
2044,6216
2045,62161
2046,621610
2047,6219
2048,62191
2049,621910
2050,62199
2051,621991
2052,621999
2053,622
2054,6221
2055,62211
2056,622110
2057,6222
2058,62221
2059,622210
2060,6223
2061,62231
2062,622310
2063,623
2064,6231
2065,62311
2066,623110
2067,6232
2068,62321
2069,623210
2070,62322
2071,623220
2072,6233
2073,62331
2074,623311
2075,623312
2076,6239
2077,62399
2078,623990
2079,624
2080,6241
2081,62411
2082,624110
2083,62412
2084,624120
2085,62419
2086,624190
2087,6242
2088,62421
2089,624210
2090,62422
2091,624221
2092,624229
2093,62423
2094,624230
2095,6243
2096,62431
2097,624310
2098,6244
2099,62441
2100,624410
2101,71
2102,711
2103,7111
2104,71111
2105,711110
2106,71112
2107,711120
2108,71113
2109,711130
2110,71119
2111,711190
2112,7112
2113,71121
2114,711211
2115,711212
2116,711219
2117,7113
2118,71131
2119,711310
2120,71132
2121,711320
2122,7114
2123,71141
2124,711410
2125,7115
2126,71151
2127,711510
2128,712
2129,7121
2130,71211
2131,712110
2132,71212
2133,712120
2134,71213
2135,712130
2136,71219
2137,712190
2138,713
2139,7131
2140,71311
2141,713110
2142,71312
2143,713120
2144,7132
2145,71321
2146,713210
2147,71329
2148,713290
2149,7139
2150,71391
2151,713910
2152,71392
2153,713920
2154,71393
2155,713930
2156,71394
2157,713940
2158,71395
2159,713950
2160,71399
2161,713990
2162,72
2163,721
2164,7211
2165,72111
2166,721110
2167,72112
2168,721120
2169,72119
2170,721191
2171,721199
2172,7212
2173,72121
2174,721211
2175,721214
2176,7213
2177,72131
2178,721310
2179,722
2180,7221
2181,72211
2182,722110
2183,7222
2184,72221
2185,722211
2186,722212
2187,722213
2188,7223
2189,72231
2190,722310
